2019-05-24 14:14:39 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-05-24 14:14:39 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-05-24 14:14:39 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-05-24 14:14:40 INFO  Version:46 - HHH000412: Hibernate Core {5.3.10.Final}
2019-05-24 14:14:40 INFO  Environment:213 - HHH000206: hibernate.properties not found
2019-05-24 14:14:41 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2019-05-24 14:15:02 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2019-05-24 14:15:03 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-05-24 14:15:03 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-05-24 14:15:03 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-05-24 14:15:03 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2019-05-24 14:15:03 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2019-05-24 14:15:04 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2019-05-24 14:15:04 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2019-05-24 14:15:04 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@4389ed
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@4389ed
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4389ed
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@178777f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@c7d00d
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@1066363
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@db6fca
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@db6fca
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@db6fca
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@ca611f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@ca611f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@ca611f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@4ab983
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@4ab983
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4ab983
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@1be445f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@1be445f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1be445f
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@1429040
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@1429040
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1429040
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@790bec
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@790bec
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@790bec
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@383c29
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@383c29
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@383c29
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@144b8b4
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@144b8b4
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1f0d09c
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1f0d09c
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@1f6f3cc
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@1f6f3cc
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1272cd3
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@16eccd1
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@51077d
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@51077d
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@26f1ed
2019-05-24 14:15:04 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@26f1ed
